MEDCOD,MEFCOD,MEDNOM,MEDPRES,MEDCNC,MEDTIP,MEDPET,MEDFF,MEDEST,MEDESTVTA,MEDFACTPER,MEDTRANAC,MEDTRALOC,MEDCOMP,MEDPS,MEDCS,MEDHI,MEDACT,MEDINDVCTO,PRDPREADQ,PRDPREDIST,PRDPREOPE,PRDINDACT,PRDSTKMIN,PRDSTKMAX,PRDPTOREP,PRDSIT,PRDADI,PRDFECHULT,MEDREGSAN,PREADQ_DO,PREDIS_DO,PREOPE_DO,PRDTIPOMED,MEDNOMABR,MEDNARCOT,MNARCOT,TIPONC,FECULTPREC,CODIGO_SIG,FECHAVRS,PRDSTKPROM,_NullFlags
00002,,ABACAVIR (COMO SULFATO) + LAMIVUDINA + ZIDOVUDINA,,300 mg + 150 mg + 300 mg,M,_,TABLET,_,,,,,,_,_,_,1,S,6.09,6.851,7.61,,0,0,0,1,N,2018-08-31 15:04:43.999000,,6.0,7.0,8.0,X,,,,,2018-05-10,582400200002,,0,b'\x00'
00003,,ABACAVIR (COMO SULFATO),240 mL,100 mg/5 mL,M,_,SOLUCI,_,,,,,,_,_,_,1,S,84.45,84.45,84.45,,0,0,0,1,N,2018-08-31 15:04:43.999000,,68.0,76.0,84.0,X,,,,,2018-05-10,582400010002,,0,b'\x00'
00004,,ABACAVIR (COMO SULFATO),,300 mg,M,P,TABLET,E,2,,,,,_,_,_,1,S,0.54826,0.54826,0.54826,,0,0,0,1,N,2018-08-31 15:04:43.999000,,3.0,3.0,3.0,X,,,,,2018-05-10,582400010001,,0,b'\x00'
00056,,ACETAZOLAMIDA,,250 mg,M,P,TABLET,_,,,,,,_,_,_,1,S,0.285596,0.342715,0.35,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,2018-05-10,580500160001,,0,b'\x00'
00070,,ACETILCISTEINA,1 g,100 mg,M,_,GRANUL,_,,,,,,_,_,_,1,S,1.422222,1.6,1.8,,0,0,0,1,N,2018-08-31 15:04:43.999000,,1.422222,1.6,1.8,S,,,,,2018-05-10,585000530005,,0,b'\x00'
00071,,ACETILCISTEINA,1 g,200 mg,M,_,GRANUL,_,,,,,,_,_,_,1,S,0.0,0.0,0.0,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,,585000530006,,0,b'\x00'
00072,,ACETILCISTEINA,3 mL,300 mg,M,_,INYECT,_,,,,,,_,_,_,1,S,7.190124,8.088889,9.1,,0,0,0,1,N,2018-08-31 15:04:43.999000,,7.190124,8.088889,9.1,X,,,,,2018-05-10,580400080001,,0,b'\x00'
00091,,ACIDO ACETILSALICILICO,,100 mg,M,P,TABLET,_,,,,,,_,_,_,1,S,0.02,0.02,0.02,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,2018-08-01,580200500001,,0,b'\x00'
00093,,ACIDO ACETILSALICILICO,,25 mg,M,_,TABLET,_,,,,,,_,_,_,1,S,0.0,0.0,0.0,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,,580200500004,,0,b'\x00'
00095,,ACIDO ACETILSALICILICO,,500 mg,M,P,TABLET,_,,,,,,_,_,_,1,S,0.3584,0.4032,0.44,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,2018-05-10,580200500002,,0,b'\x00'
00111,,ACICLOVIR (UNGÜENTO OFTALMICO),3.5 g,3 g/100 g (3 %),M,P,UNGÜEN,_,,,,,,_,_,_,1,S,8.8,9.9,11.0,,0,0,0,1,N,2018-08-31 15:04:43.999000,NG-2229,0.0,0.0,0.0,X,,,,,2018-07-10,584400580002,,0,b'\x00'
00114,,ACICLOVIR (UNGÜENTO OFTALMICO),5 g,3 g/100 g (3 %),M,P,UNGÜEN,_,,,,,,_,_,_,1,S,8.37,9.207,9.4,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,2018-05-10,584400580001,,0,b'\x00'
00119,,ACICLOVIR,15 g,5 g/100 g,M,_,CREMA,_,,,,,,_,_,_,1,S,0.0,0.0,0.0,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,,582400320013,,0,b'\x00'
00132,,ACICLOVIR (COMO SAL SODICA),10 mL,250 mg,M,P,INYECT,_,,,,,,_,_,_,1,S,0.0,0.0,0.0,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,,582400320002,,0,b'\x00'
00143,,ACICLOVIR,,200 mg,M,P,TABLET,_,,,,,,_,_,_,1,S,0.060472,0.066519,0.07,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,2018-05-10,582400320003,,0,b'\x00'
00145,,ACICLOVIR,,400 mg,M,P,TABLET,S,,,,,,_,_,_,1,S,0.12,0.135,0.15,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,2018-05-10,582400320014,,0,b'\x00'
00200,,ACIDO FOLICO,,500 µg (0.5 mg),M,P,TABLET,_,,,,,,_,_,_,1,S,0.019494,0.024368,0.03,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,2018-05-10,582800250001,,0,b'\x00'
00202,,ACIDO FUSIDICO,15 g,2 g/100 g (2 %),M,P,CREMA,_,,,,,,_,_,_,1,S,9.6,10.8,12.0,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,2018-08-01,583300110001,,0,b'\x00'
00218,,ACIDO PAMIDRONICO,,90 mg,M,P,INYECT,_,,,,,,_,_,_,1,S,27.495,30.931,32.5,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,2018-05-10,586800080001,,0,b'\x00'
00223,,ACIDO TRANEXAMICO,10 mL,1 g,M,P,INYECT,_,,,,,,_,_,_,1,S,14.05162,16.861944,17.0,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,2018-05-10,582800020004,,0,b'\x00'
00225,,ACIDO TRANEXAMICO,,250 mg,M,P,TABLET,_,,,,,,_,_,_,1,S,3.0,3.375,3.5,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,2018-05-10,582800020002,,0,b'\x00'
00227,,ACIDO VALPROICO,120 mL,250 mg/5 mL,M,_,JARABE,_,,,,,,_,_,_,1,S,0.0,0.0,0.0,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,P,,,,580500050004,,0,b'\x00'
00231,,ACITRETINA,,25 mg,M,P,TABLET,_,,,,,,_,_,_,1,S,1.07,1.204,1.3,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,2018-05-10,583300120001,,0,b'\x00'
00234,,ADENOSINA,2 mL,6 mg/2 mL,M,P,INYECT,_,,,,,,_,_,_,1,S,2.81,3.161,3.5,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,2018-05-10,583000020001,,0,b'\x00'
00259,,ALBENDAZOL,20 mL,100 mg/5 mL,M,P,SUSPEN,_,,,,,,_,_,_,1,S,1.180238,1.298262,1.4,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,1.0,1.0,X,,,,,2018-05-10,580600040004,,0,b'\x00'
00269,,ALBENDAZOL,,200 mg,M,P,TABLET,_,,,,,,1,1,2,1,S,0.134159,0.147575,0.16,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,2018-05-10,580600040001,,0,b'\x00'
00274,,ALBUMINA HUMANA,50 mL,20 g/100 mL,M,_,INYECT,_,,,,,,_,_,_,1,S,0.0,0.0,0.0,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,,582900040002,,0,b'\x00'
00350,,ALCOHOL POLIVINILICO (SOLUCION OFTALMICA),15 mL,14 mg/mL,M,_,SOLUCI,_,,,,,,_,_,_,1,S,1.5,1.688,1.8,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,2018-05-10,584400650003,,0,b'\x00'
00356,,ACIDO ALENDRONICO (COMO ALENDRONATO SODICO),,70 mg,M,P,TABLET,_,,,,,,_,_,_,1,S,0.62,0.6975,0.77,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,2018-08-01,586800010004,,0,b'\x00'
00389,,ALOPURINOL,,100 mg,M,P,TABLET,_,,,,,,_,_,_,1,S,0.039,0.037,0.05,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,2018-05-10,580200480001,,0,b'\x00'
00390,,ALOPURINOL,,300 mg,M,P,TABLET,_,,,,,,_,_,_,1,S,0.38,0.428,0.45,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,2018-05-10,580200480002,,0,b'\x00'
00393,,ALPRAZOLAM,,500 µg (0.5 mg),M,P,TABLET,_,,,,,,_,_,_,1,S,0.019532,0.024415,0.03,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,P,,,2018-05-10,584900030003,,0,b'\x00'
00396,,ALPROSTADIL,1 mL,500 µg/mL,M,_,INYECT,_,,,,,,_,_,_,1,S,0.0,0.0,0.0,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,,583000520002,,0,b'\x00'
00408,,ALTEPLASA (ACTIVADOR DE PLASMINOGENO TISULAR),,50 mg,M,P,INYECT,_,,,,,,_,_,_,1,S,0.0,0.0,0.0,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,,582800340001,,0,b'\x00'
00476,,SIMETICONA,,80 mg,M,_,TABLET,_,,,,,,_,_,_,1,S,0.45,0.50625,0.56,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,2018-05-10,583800220012,,0,b'\x00'
00496,,ALUMINIO HIDROXIDO + MAGNESIO HIDROXIDO,120 mL,300 - 400 mg/5 mL,M,_,SUSPEN,_,,,,,,_,_,_,1,S,0.0,0.0,0.0,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,,583800700005,,0,b'\x00'
00497,,ALUMINIO HIDROXIDO + MAGNESIO HIDROXIDO,150 mL,300 - 400 mg/5 mL,M,_,SUSPEN,_,,,,,,_,_,_,1,S,1.738,1.956,2.17,,0,0,0,1,N,2018-08-31 15:04:43.999000,,2.0,2.0,2.0,X,,,,,2018-05-10,583800700004,,0,b'\x00'
00620,,AMFOTERICINA B,10 mL,50 mg,M,P,INYECT,E,1,,,,,_,_,_,1,S,33.6,33.6,33.6,,0,0,0,1,N,2018-08-31 15:04:43.999000,,33.0,37.0,41.0,X,,,,,2018-05-10,581800050003,,0,b'\x00'
00624,,AMIKACINA (COMO SULFATO),4 mL,1 g,M,_,INYECT,_,,,,,,_,_,_,1,S,2.48,2.728,2.8,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,2018-05-10,580900030004,,0,b'\x00'
00625,,AMIKACINA (COMO SULFATO),2 mL,50 mg/mL,M,P,INYECT,_,,,,,,_,_,_,1,S,0.524857,0.577343,0.6,,0,0,0,1,N,2018-08-31 15:04:43.999000,,1.0,1.0,1.0,X,,,,,2018-05-10,580900030002,,0,b'\x00'
00627,,AMIKACINA (COMO SULFATO),2 mL,250 mg/mL,M,P,INYECT,_,,,,,,_,_,_,1,S,0.863419,0.949761,1.0,,0,0,0,1,N,2018-08-31 15:04:43.999000,,1.0,1.0,1.0,X,,,,,2018-05-10,580900030001,,0,b'\x00'
00638,,AMINOACIDOS,250 mL,10 %,M,_,INYECT,_,,,,,,_,_,_,1,S,0.0,0.0,0.0,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,,587500010007,,0,b'\x00'
00639,,AMINOACIDOS,500 mL,10 %,M,_,INYECT,_,,,,,,_,_,_,1,S,0.0,0.0,0.0,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,,587500010005,,0,b'\x00'
00662,,AMINOFILINA,10 mL,25 mg/mL,M,P,INYECT,_,,,,,,_,_,_,1,S,0.675559,0.743115,0.8,,0,0,0,1,N,2018-08-31 15:04:43.999000,,1.0,1.0,1.0,X,,,,,2018-05-10,585000520001,,0,b'\x00'
00663,,AMIODARONA CLORHIDRATO,3 mL,50 mg/mL,M,P,INYECT,_,,,,,,_,_,_,1,S,3.226,3.629,4.0,,0,0,0,1,N,2018-08-31 15:04:43.999000,S/REGISTRO,0.0,0.0,0.0,X,,,,,2018-05-10,583000450001,,0,b'\x00'
00664,,AMIODARONA CLORHIDRATO,,200 mg,M,P,TABLET,_,,,,,,_,_,_,1,S,0.18,0.189,0.22,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,2018-05-10,583000450002,,0,b'\x00'
00670,,AMITRIPTILINA CLORHIDRATO,,25 mg,M,P,TABLET,_,,,,,,_,_,_,1,S,0.101,0.111,0.12,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,P,,,2018-05-10,584900310001,,0,b'\x00'
00671,,AMLODIPINO (COMO BESILATO),,10 mg,M,P,TABLET,_,,,,,,_,_,_,1,S,0.03819,0.047738,0.05,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,2018-05-10,583100020001,,0,b'\x00'
00673,,AMLODIPINO (COMO BESILATO),,5 mg,M,P,TABLET,_,,,,,,_,_,_,1,S,0.044872,0.049359,0.05,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,2018-05-10,583100020002,,0,b'\x00'
00701,,AMOXICILINA + BROMHEXINA,60 mL,500 mg + 4 mg/5 mL,M,_,SUSPEN,_,,,,,,_,_,_,1,S,49.0043,55.12984,61.26,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,2018-05-10,585300290014,,0,b'\x00'
00725,,AMOXICILINA + ACIDO CLAVULANICO (COMO SAL POTASICA),60 mL,250 mg + 62.5 mg/5 mL,M,P,SUSPEN,_,,,,,,_,_,_,1,S,4.52,5.085,5.65,,0,0,0,1,N,2018-08-31 15:04:43.999000,,23.0,26.0,29.0,X,,,,,2018-05-10,580700150006,,0,b'\x00'
00750,,AMOXICILINA + ACIDO CLAVULANICO (COMO SAL POTASICA),,500 mg + 125 mg,M,P,TABLET,_,,,,,,_,_,_,1,S,0.417088,0.469224,0.52,,0,0,0,1,N,2018-08-31 15:04:43.999000,,1.0,1.0,1.0,X,,,,,2018-05-10,580700150007,,0,b'\x00'
00783,,AMOXICILINA,60 mL,125 mg/5 mL,M,P,SUSPEN,_,,,,,,_,_,_,1,S,2.044,2.3,2.5,,0,0,0,1,N,2018-08-31 15:04:43.999000,,1.0,1.0,1.0,X,,,,,2018-05-10,580700100003,,0,b'\x00'
00786,,AMOXICILINA,120 mL,250 mg/5 mL,M,P,SUSPEN,S,,,,,,_,_,_,1,S,3.82,4.298,4.5,,0,0,0,1,N,2018-08-31 15:04:43.999000,,3.0,4.0,4.0,X,,,,,2018-05-10,580700100002,,0,b'\x00'
00794,,AMOXICILINA,60 mL,250 mg/5 mL,M,P,SUSPEN,_,,,,,,1,1,1,1,S,1.4697,1.7636,1.8,,0,0,0,1,N,2018-08-31 15:04:43.999000,,1.0,2.0,2.0,X,,,,,2018-05-10,580700100009,,0,b'\x00'
00807,,AMOXICILINA,,250 mg,M,P,TABLET,_,,,,,,_,_,_,1,S,0.09,0.099,0.1,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,2018-05-10,580700100004,,0,b'\x00'
00808,,AMOXICILINA,,500 mg,M,P,TABLET,_,,,,,,_,_,_,1,S,0.1181,0.1299,0.14,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,2018-05-10,580700100007,,0,b'\x00'
00822,,AMPICILINA (COMO SAL SODICA) + SULBACTAM (COMO SAL SODICA),,1 g + 500 mg,M,P,INYECT,_,,,,,,_,_,_,1,S,1.981,2.228,2.4,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,2018-05-10,580700020001,,0,b'\x00'
00823,,AMPICILINA + SULBACTAM,100 mL,1 g + 500 mg,M,P,INYECT,_,,,,,,_,_,_,1,S,0.0,0.0,0.0,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,,580700020009,,0,b'\x00'
