ALMCOD,MEDCOD,STKSALDO,STKPRECIO,STKFECHULT,FLG_SOCKET
06162F0101,00143,771,0.13,2024-12-27 23:26:05,1
06162F0101,00259,30,2.065,2024-07-10 07:27:40.999000,1
06162F0101,00269,281,0.11,2024-11-23 19:41:30.999000,1
06162F0101,00356,93,0.5,2024-10-30 17:39:44.999000,1
06162F0101,00393,0,0.03,2024-11-23 19:03:38,1
06162F0101,00671,195,0.079,2024-11-12 12:05:41.999000,1
06162F0101,00673,220,0.043382,2024-10-18 07:42:09.999000,1
06162F0101,00725,49,3.98,2024-12-26 19:38:47.999000,1
06162F0101,00750,4703,0.498,2024-12-31 23:27:58.999000,1
06162F0101,00808,3632,0.129,2024-12-29 07:52:17.999000,1
06162F0101,00830,10,0.85,2024-03-22 20:01:09.999000,1
06162F0101,00900,130,0.092,2024-09-26 16:15:56.999000,1
06162F0101,00903,1200,0.042,2024-12-27 15:16:57.999000,1
06162F0101,00904,917,0.198335,2024-12-21 09:45:00,1
06162F0101,00910,155,1.5,2024-12-31 01:46:56,1
06162F0101,00947,1073,0.57,2024-12-31 22:44:41,1
06162F0101,01009,18,6.3,2024-12-18 12:57:20,1
06162F0101,01029,0,0.477,2024-08-15 17:01:56.999000,1
06162F0101,01043,0,1.638,2024-06-11 21:30:27.999000,1
06162F0101,01053,54,3.332998,2024-12-22 18:21:44,1
06162F0101,01205,128,1.37,2024-12-26 08:11:00,1
06162F0101,01256,0,6.1,2024-11-20 20:41:11,1
06162F0101,01503,200,0.445,2024-08-29 12:56:13,1
06162F0101,01522,1451,0.036248,2024-12-31 01:25:57.999000,1
06162F0101,01628,10,4.1,2024-11-05 10:58:40,1
06162F0101,01636,1408,0.23,2024-12-27 23:28:56,1
06162F0101,01705,0,20.0,2024-02-08 08:07:20,1
06162F0101,01711,4174,1.2,2024-12-29 17:41:09,1
06162F0101,01841,10,13.7,2024-12-26 21:21:50,1
06162F0101,01846,3193,0.1015,2024-12-31 21:39:18,1
06162F0101,01930,73,0.681318,2024-12-10 13:00:37.999000,1
06162F0101,01958,80,2.5,2024-12-24 19:42:43,1
06162F0101,01964,2026,0.295,2024-12-26 14:38:44,1
06162F0101,01973,22,2.6,2024-04-22 10:28:53,1
06162F0101,02128,1895,0.298,2024-12-31 22:44:41,1
06162F0101,02132,35,3.9,2024-12-31 01:27:48.999000,1
06162F0101,02149,5700,0.0186,2024-12-30 21:14:14.999000,1
06162F0101,02319,281,0.969999,2024-12-27 22:48:00,1
06162F0101,02354,221,0.48,2024-12-20 18:21:15.999000,1
06162F0101,02642,2895,0.32,2024-12-31 23:27:58.999000,1
06162F0101,02654,128,0.059006,2024-12-24 11:26:52,1
06162F0101,02657,294,0.062435,2024-12-30 12:41:16,1
06162F0101,02724,761,2.8,2024-12-31 07:09:03,1
06162F0101,02752,66,0.550999,2024-12-31 01:19:22.999000,1
06162F0101,02754,4,0.072,2024-12-16 07:28:51,1
06162F0101,02788,4063,0.1267,2024-12-31 22:17:21,1
06162F0101,02794,5,17.0,2024-10-04 14:58:30.999000,1
06162F0101,02830,38,3.5,2024-12-29 10:57:50.999000,1
06162F0101,02836,9337,0.25,2024-12-31 16:54:44.999000,1
06162F0101,02884,1808,0.72,2024-12-31 22:19:01.999000,1
06162F0101,02891,1847,0.055,2024-12-30 14:23:21,1
06162F0101,02922,25,2.57625,2024-12-17 10:47:24,1
06162F0101,03018,245,0.165,2024-12-31 16:50:46,1
06162F0101,03078,220,0.0315,2024-12-03 11:47:07,1
06162F0101,03080,850,0.078,2024-12-05 17:57:06,1
06162F0101,03097,14,1.477,2024-12-29 23:07:48,1
06162F0101,03139,5,3.5,2024-12-27 10:52:37.999000,1
06162F0101,03182,1,4.6,2024-11-30 13:15:52,1
06162F0101,03213,1841,1.356,2024-12-31 22:19:01.999000,1
06162F0101,03215,3338,0.165643,2024-12-31 01:15:47.999000,1
06162F0101,03513,400,0.173,2023-12-31 01:44:57,1
06162F0101,03552,410,0.075,2024-12-29 19:28:30,1
06162F0101,03576,31,0.968,2024-12-18 12:56:22,1
06162F0101,03595,228,0.228,2024-12-27 22:48:00,1
06162F0101,03703,18,2.863158,2024-06-12 08:01:34.999000,1
06162F0101,03708,235,0.072,2024-12-25 13:06:18.999000,1
06162F0101,03710,88,0.7,2024-12-31 13:14:47.999000,1
06162F0101,03713,360,0.105,2024-12-18 12:56:22,1
06162F0101,03747,294,0.685,2024-12-27 19:42:52.999000,1
06162F0101,03758,225,0.033,2024-12-28 23:55:06.999000,1
06162F0101,03787,392,0.855,2024-12-31 16:41:10.999000,1
06162F0101,03921,281,0.095,2024-12-18 12:54:37,1
06162F0101,03944,5,3.1,2024-12-18 12:54:37,1
06162F0101,04024,43,1.55,2024-12-31 01:27:48.999000,1
06162F0101,04034,13781,0.0648,2024-12-31 22:40:52,1
06162F0101,04291,131,9.41594,2024-12-30 16:20:55,1
06162F0101,04390,399,2.45,2024-12-31 23:30:26,1
06162F0101,04415,14,3.81,2024-12-31 21:17:38,1
06162F0101,04511,16,6.0,2024-10-18 17:58:16.999000,1
06162F0101,04514,5373,0.05995,2024-12-31 01:53:37.999000,1
06162F0101,04523,3110,0.049141,2024-12-29 10:24:38,1
06162F0101,04556,15,1.8,2024-11-30 13:15:52,1
06162F0101,04582,13,4.78,2024-08-15 13:16:39.999000,1
06162F0101,04585,56,0.068,2024-11-08 15:55:46.999000,1
06162F0101,04677,4574,0.41,2024-12-31 22:46:14.999000,1
06162F0101,04696,2815,0.045,2024-12-30 09:11:13,1
06162F0101,04701,10,0.289,2024-11-16 23:33:18.999000,1
06162F0101,04743,51,0.363,2024-12-25 17:39:31.999000,1
06162F0101,04752,284,0.07,2024-12-28 19:42:45.999000,1
06162F0101,04794,9,7.036,2024-11-30 13:15:52,1
06162F0101,04805,427,0.1,2024-12-28 18:32:01.999000,1
06162F0101,04847,10,1.85,2024-05-27 18:26:02,1
06162F0101,04922,52,6.410122,2024-12-30 22:18:10.999000,1
06162F0101,04923,0,10.51,2024-05-09 07:54:34,1
06162F0101,04982,7650,0.1387,2024-12-31 07:09:03,1
06162F0101,05018,50,0.294138,2024-02-28 10:04:16,1
06162F0101,05021,110,0.49,2024-12-22 11:31:35.999000,1
06162F0101,05103,524,0.8,2024-12-30 07:37:31,1
06162F0101,05166,1348,0.79,2024-12-31 19:44:47,1
06162F0101,05253,13,1.0,2024-11-30 13:11:26,1
06162F0101,05281,38,1.25,2024-09-26 16:13:34.999000,1
06162F0101,05309,49,3.2,2024-12-31 23:30:26,1
06162F0101,05335,23284,0.053,2024-12-31 23:27:58.999000,1
06162F0101,05384,7,7.523,2024-11-09 22:47:43.999000,1
06162F0101,05551,10,0.25,2024-07-31 16:11:10,1
06162F0101,05586,25,3.996667,2024-10-16 16:46:44.999000,1
06162F0101,05588,1027,0.1,2024-12-30 20:52:59.999000,1
06162F0101,05589,192,0.06,2024-12-31 16:50:46,1
06162F0101,05590,675,0.33,2024-12-26 22:47:48,1
06162F0101,05634,236,0.094412,2024-06-21 19:00:10,1
06162F0101,05658,665,0.25,2024-12-31 22:19:01.999000,1
06162F0101,05661,2009,0.372401,2024-12-29 06:57:36.999000,1
06162F0101,05731,84,3.688948,2024-12-28 11:08:21.999000,1
06162F0101,05872,830,0.760319,2024-12-31 22:40:52,1
06162F0101,05873,590,2.985,2024-12-31 22:19:01.999000,1
06162F0101,05884,154,4.9,2024-12-31 01:46:56,1
06162F0101,05964,148,7.5,2024-12-28 15:14:35,1
06162F0101,05986,16,0.88,2024-06-12 08:01:34.999000,1
06162F0101,06002,137,0.14,2024-10-27 17:24:33.999000,1
06162F0101,06111,17,13.688,2024-11-18 16:03:16,1
06162F0101,06239,1170,0.3,2024-12-25 18:11:59,1
06162F0101,06291,1,9.138,2024-11-30 13:13:28.999000,1
06162F0101,06432,13,6.846527,2024-12-30 15:43:02.999000,1
06162F0101,08008,841,0.173668,2024-12-18 21:40:13.999000,1
06162F0101,08054,244,0.116948,2024-12-28 17:52:20,1
06162F0101,10001,3,27.0,2024-02-27 14:02:43,1
06162F0101,10148,684,0.068,2024-12-24 18:07:02.999000,1
06162F0101,10151,1593,0.072,2024-12-31 23:32:00,1
06162F0101,10155,3219,0.06,2024-12-31 23:30:26,1
06162F0101,10158,202,0.06,2024-12-28 17:52:44.999000,1
06162F0101,10221,190,9.0,2024-12-11 15:04:34,1
06162F0101,10222,4,1.19,2024-09-27 14:24:51,1
06162F0101,10230,2,7.3,2024-11-27 10:39:36,1
06162F0101,10244,14,2.24,2024-12-17 08:43:30,1
06162F0101,10246,18,1.184167,2024-11-17 06:59:40,1
06162F0101,10249,34,13.0,2024-12-18 13:00:22.999000,1
06162F0101,10318,0,18.0,2024-09-30 09:12:38.999000,1
06162F0101,10355,14,0.38,2024-09-12 18:28:51.999000,1
06162F0101,10363,2,4.65,2024-11-06 21:46:31.999000,1
06162F0101,10419,0,1.1,2024-12-17 16:50:19.999000,1
06162F0101,10477,640,1.0,2024-12-31 02:14:05,1
06162F0101,10482,325,1.0,2024-12-30 19:56:11,1
06162F0101,10545,12,10.6,2024-08-29 13:25:35.999000,1
06162F0101,10554,2,0.24,2023-12-31 01:44:57,1
06162F0101,10749,0,44.0,2024-09-30 09:29:00,1
06162F0101,10750,2,50.0,2024-09-30 09:12:36.999000,1
06162F0101,10929,1273,0.788,2024-12-31 22:40:52,1
06162F0101,11006,3,13.0,2024-06-28 13:41:08.999000,1
06162F0101,11048,0,20.0,2024-05-30 09:00:37.999000,1
06162F0101,11063,126,0.3304,2024-10-29 17:32:34.999000,1
06162F0101,11085,12,3.95,2024-02-29 10:14:17.999000,1
06162F0101,11263,1,12.0,2024-04-29 19:15:10.999000,1
06162F0101,11368,5691,0.16,2024-12-31 23:32:00,1
06162F0101,11369,3661,0.41,2024-12-31 22:19:01.999000,1
06162F0101,11370,896,0.1113,2024-12-31 23:30:26,1
06162F0101,11446,1,15.666667,2024-09-30 09:12:39.999000,1
06162F0101,11464,13,3.1,2024-03-15 19:47:17,1
06162F0101,11735,1,35.0,2024-06-28 13:37:17,1
06162F0101,11849,8,1.79,2024-06-27 19:45:19.999000,1
06162F0101,11850,2,1.79,2024-12-30 19:56:11,1
06162F0101,12018,220,4.0,2024-12-30 18:41:27.999000,1
06162F0101,12024,0,2.3,2024-10-20 11:26:34,1
06162F0101,12030,62,2.5,2024-12-30 14:07:42.999000,1
06162F0101,12060,0,2.3,2024-12-30 13:06:52.999000,1
06162F0101,12217,340,2.2,2024-12-24 18:16:38,1
06162F0101,12228,59,3.0,2024-12-29 21:55:24.999000,1
06162F0101,12236,47,3.0,2024-12-23 21:58:35.999000,1
06162F0101,12403,93,2.2,2024-12-31 06:04:42.999000,1
06162F0101,12417,194,3.0,2024-12-31 16:54:44.999000,1
06162F0101,12427,144,2.2,2024-12-30 07:22:34.999000,1
06162F0101,12428,18,3.0,2024-12-18 18:39:20.999000,1
06162F0101,12703,9,8.47458,2024-11-30 13:13:28.999000,1
06162F0101,12756,3,18.0,2023-12-31 01:44:57,1
06162F0101,12795,27,5.4,2024-12-18 12:58:33,1
06162F0101,12805,170,0.96,2024-12-31 10:02:02,1
06162F0101,12806,250,1.32,2024-12-31 06:18:52,1
06162F0101,12808,77,1.65,2024-12-27 21:44:57,1
06162F0101,15047,67,0.435,2024-09-21 13:57:10,1
06162F0101,15287,1,0.22,2023-12-31 01:44:57,1
06162F0101,15288,1,0.22,2023-12-31 01:44:57,1
06162F0101,15334,15,1.64,2024-12-31 09:36:20.999000,1
06162F0101,15336,2,1.42,2024-02-21 14:00:24.999000,1
06162F0101,16037,9,82.5,2024-11-27 10:39:36,1
06162F0101,16462,17,3.95,2024-07-31 18:51:10.999000,1
06162F0101,16464,14,3.95,2024-07-31 18:51:10.999000,1
06162F0101,16478,12,4.5,2024-07-31 18:51:10.999000,1
06162F0101,16480,20,3.95,2024-07-31 18:51:10.999000,1
06162F0101,16485,18,3.95,2024-07-31 18:51:10.999000,1
06162F0101,16486,15,3.95,2024-07-31 18:51:10.999000,1
06162F0101,16569,399,1.1,2024-12-31 23:30:26,1
06162F0101,16570,69,1.1,2024-12-31 22:40:52,1
06162F0101,16571,352,1.10241,2024-12-31 16:54:44.999000,1
06162F0101,16572,38,0.9,2024-12-29 07:52:17.999000,1
06162F0101,16597,190,0.2,2024-12-30 19:14:31,1
06162F0101,16599,172,0.2,2024-12-31 11:24:17.999000,1
06162F0101,16602,200,0.21,2024-12-07 14:59:00,1
06162F0101,16656,136,0.16,2024-12-29 23:07:48,1
06162F0101,16657,0,0.12,2024-10-19 14:09:41,1
06162F0101,16737,23,0.72,2024-12-18 12:54:37,1
06162F0101,16774,64,2.7,2024-12-25 15:47:57,1
06162F0101,16776,18,2.5,2024-11-30 13:15:52,1
06162F0101,16871,7,2.7,2024-08-29 12:50:41,1
06162F0101,17029,24,2.04,2024-06-27 19:45:19.999000,1
06162F0101,17030,22,2.04,2024-10-30 11:24:55.999000,1
06162F0101,17071,5,2.52,2024-09-06 16:23:56,1
06162F0101,17074,5,1.85,2024-12-30 18:48:06.999000,1
06162F0101,17075,5,1.85,2024-12-18 12:58:33,1
06162F0101,17083,9,1.33,2024-12-28 12:50:40,1
06162F0101,17705,3,1.588,2024-12-28 15:33:59,1
06162F0101,18048,26,6.2,2024-11-02 09:48:15.999000,1
06162F0101,18091,36,6.5,2024-12-31 01:15:47.999000,1
06162F0101,18156,11,1.42,2024-12-28 23:42:26.999000,1
06162F0101,18158,0,3.5,2024-12-24 01:25:27.999000,1
06162F0101,18511,0,4.7,2024-03-04 15:33:07.999000,1
06162F0101,18694,1,3.0,2024-12-11 13:15:52,1
06162F0101,18698,23,2.2,2024-12-01 15:04:44.999000,1
06162F0101,18726,0,0.11,2024-11-07 15:50:58.999000,1
06162F0101,18869,3,70.0,2024-11-27 10:39:37,1
06162F0101,18879,19,10.15,2024-12-10 15:43:46.999000,1
06162F0101,18886,78,3.0,2024-12-12 17:45:03.999000,1
06162F0101,19166,2,29.9,2024-12-30 12:51:31,1
06162F0101,19234,0,2.2,2024-08-03 14:14:07,1
06162F0101,19421,110,0.9,2024-12-24 16:21:50.999000,1
06162F0101,19429,5,47.0,2024-12-28 13:17:21,1
06162F0101,19723,50,4.01,2024-12-22 13:19:51.999000,1
06162F0101,19918,55,0.34,2024-12-25 15:54:11.999000,1
06162F0101,20036,797,0.6,2024-12-30 18:45:14.999000,1
06162F0101,20361,45,0.85,2024-12-18 12:54:37,1
06162F0101,20395,2600,0.18,2024-09-21 11:17:01.999000,1
06162F0101,20455,1,29.5,2024-12-27 10:53:17.999000,1
06162F0101,20479,0,15.3,2024-05-29 19:59:03,1
06162F0101,20594,150,1.2,2024-12-30 16:16:40.999000,1
06162F0101,21620,0,0.18269,2024-02-27 14:02:43,1
06162F0101,21909,8,110.0,2024-11-27 10:39:38,1
06162F0101,22035,3,19.0,2024-07-31 19:00:24,1
06162F0101,22109,3,3.3,2024-06-28 13:36:05.999000,1
06162F0101,22128,0,37.5,2024-10-25 15:10:30,1
06162F0101,22129,0,37.5,2024-10-25 15:10:30,1
06162F0101,22211,0,78.0,2024-03-31 12:04:19.999000,1
06162F0101,22252,0,4.103333,2024-03-04 15:33:07.999000,1
06162F0101,22256,604,1.0,2024-12-31 22:19:01.999000,1
06162F0101,22308,2,201.0,2023-12-31 01:44:57,1
06162F0101,22365,1,10.5,2024-11-30 13:13:28.999000,1
06162F0101,22405,65,0.26,2024-11-30 09:41:45,1
06162F0101,22670,2,12.0,2024-10-31 16:25:49.999000,1
06162F0101,22713,90,3.55,2024-12-18 12:56:22,1
06162F0101,22775,1,10.5,2023-12-31 01:44:57,1
06162F0101,22901,3,25.0,2024-03-31 11:42:29.999000,1
06162F0101,22920,0,16.0,2024-06-28 18:36:14.999000,1
06162F0101,23113,0,48.0,2024-07-15 13:35:33.999000,1
06162F0101,23127,5485,0.078,2024-12-18 13:00:22.999000,1
06162F0101,23141,0,31.0,2024-02-27 15:34:00.999000,1
06162F0101,23146,20,4.5,2024-12-28 13:17:22,1
06162F0101,23180,0,26.0,2024-02-29 10:19:44.999000,1
06162F0101,23370,1,72.0,2024-12-12 16:06:01.999000,1
06162F0101,23438,175,1.3,2024-08-29 13:57:14.999000,1
06162F0101,23630,4,14.0,2024-10-31 16:27:07,1
06162F0101,23964,0,3.37,2024-09-21 14:54:23,1
06162F0101,24072,81,0.435,2024-09-21 13:57:10,1
06162F0101,24090,0,49.202683,2024-01-31 12:45:05,1
06162F0101,24334,0,3.45,2024-12-04 15:12:36,1
06162F0101,24391,0,270.790281,2024-12-28 13:17:21,1
06162F0101,24760,2946,0.154087,2024-12-29 14:50:35,1
06162F0101,24840,0,75.0,2024-09-30 08:23:33.999000,1
06162F0101,25122,243,0.872,2024-10-16 10:41:53.999000,1
06162F0101,25349,104,4.95,2024-07-31 18:51:10,1
06162F0101,25938,0,0.24,2024-12-28 13:17:23,1
06162F0101,26362,4,1.385124,2024-12-18 16:47:32,1
06162F0101,26631,0,11.3,2024-06-28 18:36:14.999000,1
06162F0101,26751,0,165.0,2024-10-30 10:44:08.999000,1
06162F0101,26770,1,67.0,2024-07-31 19:13:51.999000,1
06162F0101,27731,5,90.0,2024-06-28 13:28:36,1
06162F0101,28250,2,50.7,2024-12-28 13:17:22,1
06162F0101,28300,2,39.0,2024-08-29 12:50:41,1
06162F0101,28395,31,3.4,2024-12-18 12:56:22,1
06162F0101,28530,50,11.5,2024-10-30 10:44:11,1
06162F0101,28800,110,8.98,2024-06-27 19:45:19.999000,1
06162F0101,29109,8,6.9,2024-10-30 10:44:08.999000,1
06162F0101,29155,0,1.805385,2024-11-18 19:55:26,1
06162F0101,29405,284,1.44,2024-12-28 11:06:07.999000,1
06162F0101,29457,0,2.100396,2024-11-18 19:55:26,1
06162F0101,29817,17,6.304,2024-12-11 15:27:07.999000,1
06162F0101,29849,0,3.19,2024-07-30 11:48:16.999000,1
06162F0101,29856,9,30.0,2024-07-31 18:51:11.999000,1
06162F0101,30034,24,13.75,2024-12-28 13:17:23,1
06162F0101,30456,1,67.0,2024-12-28 13:17:20,1
06162F0101,30498,2,7.41,2024-03-18 19:53:44,1
06162F0101,30588,226,0.354,2024-12-31 22:17:21,1
06162F0101,30666,0,6.24,2024-02-29 10:03:02,1
06162F0101,31021,0,71.19,2024-01-29 10:29:24.999000,1
06162F0101,31025,0,1.4986,2024-11-18 19:55:26,1
06162F0101,31045,5,84.9,2024-07-31 18:51:09,1
06162F0101,31074,13,8.23,2024-12-18 12:57:21,1
06162F0101,31340,0,0.24,2024-12-28 13:17:23,1
06162F0101,31353,8,9.35,2024-07-12 13:34:12,1
06162F0101,31414,3,48.0,2024-11-27 10:39:38,1
06162F0101,31509,0,8.3,2024-09-28 13:20:27,1
06162F0101,31606,2,42.7,2023-12-31 01:44:57,1
06162F0101,31735,0,2.0,2024-04-29 19:15:11.999000,1
06162F0101,31841,8,23.6,2024-12-28 13:17:23.999000,1
06162F0101,31904,0,152.0,2024-07-31 19:13:53,1
06162F0101,31907,5,3.55,2024-10-31 14:34:32.999000,1
06162F0101,32537,0,73.39,2024-01-29 12:08:47.999000,1
06162F0101,32560,1,23.25,2024-04-29 19:15:10.999000,1
06162F0101,32652,0,1.57,2024-11-27 10:39:36,1
06162F0101,32731,0,10.0,2024-12-06 08:21:48.999000,1
06162F0101,33271,100,2.19,2024-12-18 13:01:21.999000,1
06162F0101,33557,150,1.1,2024-12-30 16:16:40.999000,1
06162F0101,33881,0,0.74,2024-11-27 11:38:35,1
06162F0101,34265,0,312.0,2024-02-27 14:08:12.999000,1
06162F0101,34834,150,1.2,2024-12-30 16:16:41.999000,1
06162F0101,35040,2661,0.052,2024-12-27 11:42:14.999000,1
06162F0101,35206,0,48.0,2024-11-27 10:39:38,1
06162F0101,35320,9,33.8,2024-06-28 19:17:35,1
06162F0101,35343,1525,2.748648,2024-12-11 15:17:33,1
06162F0101,36271,211,0.964072,2024-12-30 15:43:03.999000,1
06162F0101,36412,40,5.3,2024-12-28 11:08:21.999000,1
06162F0101,36413,13,3.98,2024-11-30 13:18:00.999000,1
06162F0101,36860,3,9.6,2024-08-29 12:48:25,1
06162F0101,36873,0,55.0,2024-10-25 15:10:30,1
06162F0101,37467,30,6.08,2024-08-09 14:17:50.999000,1
06162F0101,38051,1,40.0,2024-08-29 11:43:16,1
06162F0101,38553,5,33.0,2024-03-22 17:23:21,1
06162F0101,38558,2,75.0,2024-06-28 18:31:53,1
06162F0101,38680,0,2.85,2024-09-20 11:08:18,1
06162F0101,38955,705,2.550584,2024-12-11 15:12:51,1
06162F0101,39096,173,0.72,2024-12-30 12:29:33.999000,1
06162F0101,39992,42,1.28,2024-12-28 15:33:59,1
06162F0101,40785,1,35.0,2024-06-28 13:37:17,1
06162F0101,41364,0,0.1,2024-04-30 11:37:22.999000,1
06162F0101,41485,1000,0.168,2024-12-18 13:00:22.999000,1
06162F0101,41488,0,0.1035,2024-09-21 14:37:09.999000,1
06162F0101,41694,900,0.58,2024-10-30 11:12:46,1
06162F0101,41842,60,0.503959,2024-12-28 17:52:20,1
06162F0101,42003,0,45.0,2024-08-09 14:17:50.999000,1
06162F0101,42251,0,29.2,2024-11-27 11:38:35,1
06162F0101,42982,4,78.0,2024-07-31 19:00:26,1
06162F0101,43815,0,14.0,2024-07-31 09:46:30.999000,1
06162F0101,43866,0,42.893,2024-12-27 08:34:02.999000,1
06162F0101,44800,0,34.93,2024-05-30 09:00:37,1
06162F0101,45068,7,210.136968,2024-08-29 12:50:41,1
06162F0101,47028,200,2.069,2024-12-18 13:00:22.999000,1
06162F0101,47270,265,7.7998,2024-12-18 13:00:22.999000,1
06162F0101,47714,600,0.384,2024-04-29 19:15:11.999000,1
06162F0101,51420,150,0.557,2024-11-27 10:39:37,1
06162F0101,17563,126,0.1348,2024-12-30 15:43:02.999000,1
06162F0101,37091,141,0.963879,2024-12-30 15:43:03.999000,1
06162F0101,50814,136,42.933638,2024-12-30 15:43:01.999000,1
06162F0101,51089,136,1e-05,2024-12-30 15:43:02.999000,1
06162F0101,08172,3,84.96,2024-11-02 08:44:11.999000,1
06162F0101,45221,50,2.65,2024-12-28 15:33:58,1
06162F0101,22933,4,21.0,2024-06-28 18:36:15.999000,1
06162F0101,21923,8,6.9,2024-09-30 09:12:39.999000,1
06162F0101,22712,0,9.35,2024-10-18 15:09:07,1
06162F0101,31594,64,19.5,2024-12-27 08:32:33,1
06162F0101,32181,12,9.5,2024-11-20 14:39:29.999000,1
06162F0101,00091,345,0.068,2024-10-16 18:42:08,1
06162F0101,00794,26,2.235,2024-12-18 12:57:20,1
06162F0101,03515,1628,0.25,2024-12-30 18:20:13,1
06162F0101,19677,55,4.65,2024-09-26 16:15:56.999000,1
06162F0102,45095,15,38.94,2024-12-28 15:37:42,1
06162F0101,53000,0,412.50912,2024-03-31 12:41:11.999000,1
06162F0101,03191,680,0.42,2024-09-29 15:20:31,1
06162F0101,25008,1000,0.15989,2024-11-30 13:21:40,1
06162F0102,18931,0,0.455,2024-07-30 13:56:06.999000,1
06162F0101,22233,200,0.755,2024-02-21 13:54:22.999000,1
06162F0101,06519,29,8.37,2024-06-27 19:45:19.999000,1
06162F0101,01467,10,0.69,2024-02-29 19:34:42.999000,1
06162F0101,05856,9,0.71304,2024-08-27 16:30:59,1
06162F0101,11854,3,1.79,2024-02-21 14:00:24.999000,1
06162F0101,04394,0,3.004,2024-03-30 09:24:29.999000,1
06162F0101,00627,282,1.38,2024-12-28 01:14:30,1
06162F0101,31100,40,1.327,2024-12-28 15:33:59,1
06162F0101,45258,200,2.76,2024-12-18 12:56:22,1
06162F0101,23112,16000,0.28,2024-12-18 13:00:22.999000,1
06162F0101,32750,2,4.42,2024-06-27 19:45:19.999000,1
06162F0101,12520,350,0.58,2024-11-27 10:39:38,1
06162F0101,34451,4,24.8,2024-07-31 11:12:14,1
06162F0101,29264,0,17.5,2024-11-20 14:39:28.999000,1
06162F0101,03751,104,0.62,2024-12-13 18:03:48,1
06162F0101,26750,0,6.3,2024-12-11 15:27:07.999000,1
06162F0101,03789,17,6.18,2024-11-28 19:48:32,1
06162F0101,11156,278,1.51,2024-12-27 09:18:29,1
06162F0101,43358,0,400.0,2024-10-25 15:10:30,1
06162F0101,02055,88,0.473,2024-08-31 19:24:02,1
06162F0101,06517,3,21.0,2024-09-27 13:29:53.999000,1
06162F0101,12798,28,6.5,2024-12-11 14:02:11.999000,1
06162F0101,48446,1,140.0,2024-05-28 10:45:12.999000,1
06162F0101,12221,107,3.0,2024-12-31 23:30:26,1
06162F0101,18153,319,1.632,2024-12-31 22:46:14.999000,1
06162F0101,18291,666,1.32,2024-12-31 07:09:03,1
06162F0101,00933,10,4.3,2024-05-31 16:08:44.999000,1
06162F0101,05598,34,11.2,2024-09-01 16:34:21.999000,1
06162F0101,02954,49,1.9,2024-11-12 16:19:43,1
